2026-07-17 12:40:01 | INFO     | test | Logger is working!
2026-07-17 12:56:55 | INFO     | tts | play_audio took 19.09s
2026-07-17 12:56:55 | INFO     | speech | Recording for 5s... speak now.
2026-07-17 12:57:00 | INFO     | speech | Recording finished.
2026-07-17 12:57:00 | INFO     | speech | record_audio took 5.89s
2026-07-17 12:57:01 | WARNING  | speech | Transcription returned empty text.
2026-07-17 12:57:01 | INFO     | speech | transcribe took 0.41s
2026-07-17 12:57:01 | INFO     | fallback | No speech detected, using fallback phrase.
2026-07-17 12:57:01 | INFO     | tts | synthesize took 0.11s
2026-07-17 12:57:05 | INFO     | tts | play_audio took 3.66s
2026-07-17 12:57:05 | INFO     | speech | Recording for 5s... speak now.
2026-07-17 12:57:10 | INFO     | speech | Recording finished.
2026-07-17 12:57:10 | INFO     | speech | record_audio took 5.46s
2026-07-17 12:57:11 | INFO     | speech | Transcription: 'Stop it. I don't want to talk anymore.' (lang confidence: 1.00)
2026-07-17 12:57:11 | INFO     | speech | transcribe took 0.41s
2026-07-17 12:57:11 | INFO     | llm | Sending to Ollama (llama3.2:3b): 'Stop it. I don't want to talk anymore.'
2026-07-17 12:57:12 | INFO     | llm | Ollama response: 'It's okay to take a break or step away from the conversation whenever you feel like it. Would you like some help finding something else to do while you're not feeling chatty, though? Maybe we could look up a new TV show or a recipe together?'
2026-07-17 12:57:12 | INFO     | llm | get_response took 1.33s
2026-07-17 12:57:12 | INFO     | tts | synthesize took 0.37s
2026-07-17 12:57:25 | INFO     | tts | play_audio took 12.85s
2026-07-17 12:57:25 | INFO     | speech | Recording for 5s... speak now.
2026-07-17 12:57:31 | INFO     | speech | Recording finished.
2026-07-17 12:57:31 | INFO     | speech | record_audio took 5.55s
2026-07-17 12:57:31 | INFO     | speech | Transcription: 'Goodbye.' (lang confidence: 1.00)
2026-07-17 12:57:31 | INFO     | speech | transcribe took 0.39s
2026-07-17 12:57:31 | INFO     | llm | Sending to Ollama (llama3.2:3b): 'Goodbye.'
2026-07-17 12:57:32 | INFO     | llm | Ollama response: 'Have a great day! It was nice chatting with you, even if it was just goodbye. Feel free to come back anytime for help or just to say hi. Bye for now!'
2026-07-17 12:57:32 | INFO     | llm | get_response took 1.25s
2026-07-17 12:57:33 | INFO     | tts | synthesize took 0.26s
2026-07-17 12:57:42 | INFO     | tts | play_audio took 9.46s
2026-07-17 12:57:42 | INFO     | speech | Recording for 5s... speak now.
2026-07-17 12:57:48 | INFO     | assistant | Assistant stopped via KeyboardInterrupt.
2026-07-17 12:59:54 | INFO     | speech | Loading Whisper model 'base'...
2026-07-17 12:59:55 | INFO     | speech | Whisper model loaded.
2026-07-17 12:59:55 | INFO     | tts | Loading Piper voice from C:\AI-Assistant\voices\en_US-lessac-medium.onnx...
2026-07-17 12:59:57 | INFO     | tts | Piper voice loaded.
2026-07-17 12:59:57 | INFO     | assistant | Assistant initialized.
2026-07-17 12:59:57 | INFO     | speech | Recording for 5s... speak now.
2026-07-17 13:00:02 | INFO     | speech | Recording finished.
2026-07-17 13:00:02 | INFO     | speech | record_audio took 5.50s
2026-07-17 13:00:03 | INFO     | speech | Transcription: 'Hi Dad, how are you?' (lang confidence: 1.00)
2026-07-17 13:00:03 | INFO     | speech | transcribe took 0.43s
2026-07-17 13:00:03 | INFO     | llm | Sending to Ollama (llama3.2:3b): 'Hi Dad, how are you?'
2026-07-17 13:00:04 | INFO     | llm | Ollama response: 'I'm doing well, thanks for asking! Just here to help with any questions or tasks you need assistance with. How about you, how's your day going so far?'
2026-07-17 13:00:04 | INFO     | llm | get_response took 1.22s
2026-07-17 13:00:04 | INFO     | tts | synthesize took 0.34s
2026-07-17 13:00:14 | INFO     | tts | play_audio took 9.16s
2026-07-17 13:00:14 | INFO     | speech | Recording for 5s... speak now.
2026-07-17 13:00:19 | INFO     | speech | Recording finished.
2026-07-17 13:00:19 | INFO     | speech | record_audio took 5.91s
2026-07-17 13:00:20 | INFO     | speech | Transcription: 'My day is good. Can you tell me 66 plus 33?' (lang confidence: 1.00)
2026-07-17 13:00:20 | INFO     | speech | transcribe took 0.49s
2026-07-17 13:00:20 | INFO     | llm | Sending to Ollama (llama3.2:3b): 'My day is good. Can you tell me 66 plus 33?'
2026-07-17 13:00:21 | INFO     | llm | Ollama response: 'That's great to hear that your day is going well! Now, let's do the math... sixty-six plus thirty-three equals ninety-nine. How's everything else going today?'
2026-07-17 13:00:21 | INFO     | llm | get_response took 1.26s
2026-07-17 13:00:21 | INFO     | tts | synthesize took 0.26s
2026-07-17 13:00:30 | INFO     | tts | play_audio took 8.95s
2026-07-17 13:00:30 | INFO     | speech | Recording for 5s... speak now.
2026-07-17 13:00:36 | INFO     | speech | Recording finished.
2026-07-17 13:00:36 | INFO     | speech | record_audio took 5.56s
2026-07-17 13:00:36 | INFO     | speech | Transcription: 'It's fine. Thank you. Goodbye.' (lang confidence: 1.00)
2026-07-17 13:00:36 | INFO     | speech | transcribe took 0.45s
2026-07-17 13:00:36 | INFO     | llm | Sending to Ollama (llama3.2:3b): 'It's fine. Thank you. Goodbye.'
2026-07-17 13:00:37 | INFO     | llm | Ollama response: 'Wait, not so fast! Before you go, is there anything else I can help you with today?'
2026-07-17 13:00:37 | INFO     | llm | get_response took 0.98s
2026-07-17 13:00:38 | INFO     | tts | synthesize took 0.16s
2026-07-17 13:00:43 | INFO     | tts | play_audio took 5.53s
2026-07-17 13:00:43 | INFO     | assistant | Assistant stopped via exit phrase.
2026-07-17 13:03:34 | INFO     | speech | Loading Whisper model 'base'...
2026-07-17 13:03:35 | INFO     | speech | Whisper model loaded.
2026-07-17 13:03:35 | INFO     | tts | Loading Piper voice from C:\AI-Assistant\voices\en_US-lessac-medium.onnx...
2026-07-17 13:03:36 | INFO     | tts | Piper voice loaded.
2026-07-17 13:03:37 | INFO     | assistant | Assistant initialized.
2026-07-17 13:03:37 | INFO     | speech | Recording for 5s... speak now.
2026-07-17 13:03:42 | INFO     | speech | Recording finished.
2026-07-17 13:03:42 | INFO     | speech | record_audio took 5.62s
2026-07-17 13:03:43 | INFO     | speech | Transcription: 'Hello, how are you doing?' (lang confidence: 1.00)
2026-07-17 13:03:43 | INFO     | speech | transcribe took 0.48s
2026-07-17 13:04:32 | INFO     | speech | Loading Whisper model 'base'...
2026-07-17 13:04:33 | INFO     | speech | Whisper model loaded.
2026-07-17 13:04:33 | INFO     | tts | Loading Piper voice from C:\AI-Assistant\voices\en_US-lessac-medium.onnx...
2026-07-17 13:04:34 | INFO     | tts | Piper voice loaded.
2026-07-17 13:04:35 | INFO     | assistant | Assistant initialized.
2026-07-17 13:04:35 | INFO     | speech | Recording for 5s... speak now.
2026-07-17 13:04:40 | INFO     | speech | Recording finished.
2026-07-17 13:04:40 | INFO     | speech | record_audio took 5.60s
2026-07-17 13:04:41 | INFO     | speech | Transcription: 'Hi, how are you doing?' (lang confidence: 1.00)
2026-07-17 13:04:41 | INFO     | speech | transcribe took 0.47s
2026-07-17 13:04:41 | INFO     | llm | Sending to Ollama (llama3.2:3b): 'Hi, how are you doing?'
2026-07-17 13:04:42 | INFO     | llm | Ollama response: 'I'm doing great, thanks for asking! Ready to help with any questions or topics you'd like to chat about. How's your day going so far?'
2026-07-17 13:04:42 | INFO     | llm | get_response took 1.05s
2026-07-17 13:04:42 | INFO     | tts | synthesize took 0.25s
2026-07-17 13:04:50 | INFO     | tts | play_audio took 7.53s
2026-07-17 13:04:50 | INFO     | speech | Recording for 5s... speak now.
2026-07-17 13:04:56 | INFO     | speech | Recording finished.
2026-07-17 13:04:56 | INFO     | speech | record_audio took 5.98s
2026-07-17 13:04:56 | INFO     | speech | Transcription: 'I want to ask you, what is the definition of mitochondria?' (lang confidence: 1.00)
2026-07-17 13:04:56 | INFO     | speech | transcribe took 0.54s
2026-07-17 13:04:56 | INFO     | llm | Sending to Ollama (llama3.2:3b): 'I want to ask you, what is the definition of mitochondria?'
2026-07-17 13:04:57 | INFO     | llm | Ollama response: 'The mitochondria is like the power plant inside our cells. It's a tiny organelle that helps turn food into energy for our bodies, producing a special stuff called ATP that makes everything run smoothly. Without them, we wouldn't be alive!'
2026-07-17 13:04:57 | INFO     | llm | get_response took 1.28s
2026-07-17 13:04:58 | INFO     | tts | synthesize took 0.39s
2026-07-17 13:05:12 | INFO     | tts | play_audio took 13.88s
2026-07-17 13:05:12 | INFO     | speech | Recording for 5s... speak now.
2026-07-17 13:05:17 | INFO     | speech | Recording finished.
2026-07-17 13:05:17 | INFO     | speech | record_audio took 5.58s
2026-07-17 13:05:18 | INFO     | speech | Transcription: 'Okay, thank you. Goodbye.' (lang confidence: 1.00)
2026-07-17 13:05:18 | INFO     | speech | transcribe took 0.50s
2026-07-17 13:05:18 | INFO     | tts | synthesize took 0.08s
2026-07-17 13:05:20 | INFO     | tts | play_audio took 2.54s
2026-07-17 13:05:20 | INFO     | assistant | Assistant stopped via exit phrase.
2026-07-17 13:09:51 | INFO     | speech | Loading Whisper model 'base'...
2026-07-17 13:09:52 | INFO     | speech | Whisper model loaded.
2026-07-17 13:11:00 | INFO     | speech | Loading Whisper model 'base'...
2026-07-17 13:11:01 | INFO     | speech | Whisper model loaded.
2026-07-17 13:11:01 | INFO     | speech | Listening... speak now (will stop automatically when you pause).
2026-07-17 13:11:06 | INFO     | speech | Silence detected, stopping after 5.0s.
2026-07-17 13:11:06 | INFO     | speech | Recording finished.
2026-07-17 13:11:06 | INFO     | speech | record_audio took 5.47s
2026-07-17 13:11:07 | INFO     | speech | Transcription: 'Hi, what's wrong with you?' (lang confidence: 1.00)
2026-07-17 13:11:07 | INFO     | speech | transcribe took 0.43s
2026-07-17 13:11:14 | INFO     | speech | Loading Whisper model 'base'...
2026-07-17 13:11:15 | INFO     | speech | Whisper model loaded.
2026-07-17 13:11:15 | INFO     | speech | Listening... speak now (will stop automatically when you pause).
2026-07-17 13:11:25 | INFO     | speech | Silence detected, stopping after 9.9s.
2026-07-17 13:11:25 | INFO     | speech | Recording finished.
2026-07-17 13:11:25 | INFO     | speech | record_audio took 10.35s
2026-07-17 13:11:26 | INFO     | speech | Transcription: 'okay so i want to speak like a lot i'm gonna like say a lot of stuff and you have to like listen to me because i want to speak a lot of stuff and it won't stop until i will like not stop' (lang confidence: 1.00)
2026-07-17 13:11:26 | INFO     | speech | transcribe took 1.02s
2026-07-17 13:13:12 | INFO     | speech | Loading Whisper model 'base'...
2026-07-17 13:13:13 | INFO     | speech | Whisper model loaded.
2026-07-17 13:13:13 | INFO     | speech | Listening... speak now (will stop automatically when you pause).
2026-07-17 13:13:17 | INFO     | speech | Silence detected, stopping after 3.6s.
2026-07-17 13:13:17 | INFO     | speech | Recording finished.
2026-07-17 13:13:17 | INFO     | speech | record_audio took 4.05s
2026-07-17 13:13:18 | INFO     | speech | Transcription: 'Hello testing the new recording' (lang confidence: 1.00)
2026-07-17 13:13:18 | INFO     | speech | transcribe took 0.40s
2026-07-17 13:17:35 | INFO     | speech | Loading Whisper model 'tiny'...
2026-07-17 13:18:39 | INFO     | speech | Whisper model loaded.
2026-07-17 13:18:39 | INFO     | tts | Loading Piper voice from C:\AI-Assistant\voices\en_US-lessac-medium.onnx...
2026-07-17 13:18:40 | INFO     | tts | Piper voice loaded.
2026-07-17 13:18:40 | INFO     | assistant | Assistant initialized.
2026-07-17 13:18:40 | INFO     | speech | Listening... speak now (will stop automatically when you pause).
2026-07-17 13:18:50 | INFO     | speech | Silence detected, stopping after 8.8s.
2026-07-17 13:18:50 | INFO     | speech | Recording finished.
2026-07-17 13:18:50 | INFO     | speech | record_audio took 9.45s
2026-07-17 13:18:50 | INFO     | speech | Transcription: 'Hi, how will you decide to talk to someone?' (lang confidence: 1.00)
2026-07-17 13:18:50 | INFO     | speech | transcribe took 0.23s
2026-07-17 13:18:50 | INFO     | llm | Sending to Ollama (llama3.2:3b): 'Hi, how will you decide to talk to someone?'
2026-07-17 13:18:53 | INFO     | llm | Ollama response: 'I'll consider whether I need to explain something in detail, keep things concise for easier listening, and tailor my tone and language to be clear and friendly. I want our conversation to feel natural and easy to understand!'
2026-07-17 13:18:53 | INFO     | llm | get_response took 3.61s
2026-07-17 13:18:54 | INFO     | tts | synthesize took 0.41s
2026-07-17 13:19:06 | INFO     | tts | play_audio took 12.54s
2026-07-17 13:19:06 | INFO     | speech | Listening... speak now (will stop automatically when you pause).
2026-07-17 13:19:12 | INFO     | speech | Silence detected, stopping after 4.8s.
2026-07-17 13:19:12 | INFO     | speech | Recording finished.
2026-07-17 13:19:12 | INFO     | speech | record_audio took 5.39s
2026-07-17 13:19:12 | INFO     | speech | Transcription: 'Okay, what is the definition of my two-conjure?' (lang confidence: 1.00)
2026-07-17 13:19:12 | INFO     | speech | transcribe took 0.27s
2026-07-17 13:19:12 | INFO     | llm | Sending to Ollama (llama3.2:3b): 'Okay, what is the definition of my two-conjure?'
2026-07-17 13:19:13 | INFO     | llm | Ollama response: 'I'm not familiar with that term, could you please provide more context or information about where you heard it? I'll do my best to help you figure out its meaning.'
2026-07-17 13:19:13 | INFO     | llm | get_response took 1.14s
2026-07-17 13:19:13 | INFO     | tts | synthesize took 0.24s
2026-07-17 13:19:22 | INFO     | tts | play_audio took 8.97s
2026-07-17 13:19:22 | INFO     | speech | Listening... speak now (will stop automatically when you pause).
2026-07-17 13:19:28 | INFO     | speech | Silence detected, stopping after 4.5s.
2026-07-17 13:19:28 | INFO     | speech | Recording finished.
2026-07-17 13:19:28 | INFO     | speech | record_audio took 5.44s
2026-07-17 13:19:28 | INFO     | speech | Transcription: 'I am saying what is the definition of mitochondria?' (lang confidence: 1.00)
2026-07-17 13:19:28 | INFO     | speech | transcribe took 0.24s
2026-07-17 13:19:28 | INFO     | llm | Sending to Ollama (llama3.2:3b): 'I am saying what is the definition of mitochondria?'
2026-07-17 13:19:29 | INFO     | llm | Ollama response: 'Mitochondria are tiny organelles found in cells that generate most of our body's energy, by producing a molecule called ATP through cellular respiration. They're like little powerhouses inside your cells!'
2026-07-17 13:19:29 | INFO     | llm | get_response took 1.17s
2026-07-17 13:19:30 | INFO     | tts | synthesize took 0.35s
2026-07-17 13:19:42 | INFO     | tts | play_audio took 12.25s
2026-07-17 13:19:42 | INFO     | speech | Listening... speak now (will stop automatically when you pause).
2026-07-17 13:19:48 | INFO     | speech | Silence detected, stopping after 5.1s.
2026-07-17 13:19:48 | INFO     | speech | Recording finished.
2026-07-17 13:19:48 | INFO     | speech | record_audio took 6.06s
2026-07-17 13:19:48 | INFO     | speech | Transcription: 'Watch the square of 6457-8' (lang confidence: 1.00)
2026-07-17 13:19:48 | INFO     | speech | transcribe took 0.24s
2026-07-17 13:19:48 | INFO     | llm | Sending to Ollama (llama3.2:3b): 'Watch the square of 6457-8'
2026-07-17 13:19:49 | INFO     | llm | Ollama response: 'To calculate that, I'll first find the square root of 6457, which is approximately 254, then subtract 8 from it and finally square that result to get your final answer.'
2026-07-17 13:19:49 | INFO     | llm | get_response took 1.25s
2026-07-17 13:19:50 | INFO     | tts | synthesize took 0.32s
2026-07-17 13:20:02 | INFO     | tts | play_audio took 12.22s
2026-07-17 13:20:02 | INFO     | speech | Listening... speak now (will stop automatically when you pause).
2026-07-17 13:20:06 | INFO     | speech | Silence detected, stopping after 3.0s.
2026-07-17 13:20:06 | INFO     | speech | Recording finished.
2026-07-17 13:20:06 | INFO     | speech | record_audio took 3.89s
2026-07-17 13:20:06 | INFO     | speech | Transcription: 'Okay, thank you. Good bye.' (lang confidence: 1.00)
2026-07-17 13:20:06 | INFO     | speech | transcribe took 0.23s
2026-07-17 13:20:06 | INFO     | tts | synthesize took 0.06s
2026-07-17 13:20:08 | INFO     | tts | play_audio took 2.05s
2026-07-17 13:20:08 | INFO     | assistant | Assistant stopped via exit phrase.
2026-07-17 13:24:53 | INFO     | speech | Loading Whisper model 'base'...
2026-07-17 13:24:54 | INFO     | speech | Whisper model loaded.
2026-07-17 13:24:54 | INFO     | tts | Loading Piper voice from C:\AI-Assistant\voices\en_US-lessac-medium.onnx...
2026-07-17 13:24:55 | INFO     | tts | Piper voice loaded.
2026-07-17 13:24:56 | INFO     | assistant | Assistant initialized.
2026-07-17 13:24:56 | INFO     | speech | Listening... speak now (will stop automatically when you pause).
2026-07-17 13:25:01 | INFO     | speech | Silence detected, stopping after 5.4s.
2026-07-17 13:25:02 | INFO     | speech | Recording finished.
2026-07-17 13:25:02 | INFO     | speech | record_audio took 5.78s
2026-07-17 13:25:02 | INFO     | speech | Transcription: 'Hello, what square root of 6, 7, 8, 9, 10?' (lang confidence: 1.00)
2026-07-17 13:25:02 | INFO     | speech | transcribe took 0.43s
2026-07-17 13:25:02 | INFO     | llm | Sending to Ollama (llama3.2:3b): 'Hello, what square root of 6, 7, 8, 9, 10?'
2026-07-17 13:25:03 | INFO     | llm | Ollama response: 'I think you meant to ask for the square roots of those numbers individually. The square root of 6 is approximately 2.45, and that's it!'
2026-07-17 13:25:03 | INFO     | llm | get_response took 1.15s
2026-07-17 13:25:03 | ERROR    | tts | TTS failed: # channels not specified
2026-07-17 13:25:03 | INFO     | speech | Listening... speak now (will stop automatically when you pause).
2026-07-17 13:25:05 | INFO     | speech | Silence detected, stopping after 1.4s.
